Date,Value
28/09/2015,1.120448179
25/09/2015,1.11719361
24/09/2015,1.129177958
23/09/2015,1.114330287
22/09/2015,1.113461753
21/09/2015,1.119444755
18/09/2015,1.137009665
17/09/2015,1.13058225
16/09/2015,1.129433025
15/09/2015,1.127268628
14/09/2015,1.128413451
11/09/2015,1.127904354
10/09/2015,1.121453404
09/09/2015,1.116320607
08/09/2015,1.117942985
07/09/2015,1.116196004
04/09/2015,1.111481605
03/09/2015,1.109631602
02/09/2015,1.122964627
01/09/2015,1.12561909
28/08/2015,1.121579183
27/08/2015,1.121453404
26/08/2015,1.140901312
25/08/2015,1.141161703
24/08/2015,1.157407407
21/08/2015,1.131221719
20/08/2015,1.119444755
19/08/2015,1.105460977
18/08/2015,1.103387399
17/08/2015,1.107542363
14/08/2015,1.11135808
13/08/2015,1.112842199
12/08/2015,1.119068935
11/08/2015,1.104606208
10/08/2015,1.09805644
07/08/2015,1.093852549
06/08/2015,1.091345629
05/08/2015,1.086720278
04/08/2015,1.096130659
03/08/2015,1.09733348
31/07/2015,1.104850293
30/07/2015,1.092418615
29/07/2015,1.103022281
28/07/2015,1.1038746
27/07/2015,1.11049417
24/07/2015,1.096972356
23/07/2015,1.09805644
22/07/2015,1.089324619
21/07/2015,1.093613298
20/07/2015,1.086366105
17/07/2015,1.085540599
16/07/2015,1.090750436
15/07/2015,1.096010522
14/07/2015,1.099989
13/07/2015,1.100836636
10/07/2015,1.117318436
09/07/2015,1.104484206
08/07/2015,1.106561912
07/07/2015,1.093613298
06/07/2015,1.107542363
03/07/2015,1.110124334
02/07/2015,1.110740864
01/07/2015,1.110864252
30/06/2015,1.114081996
29/06/2015,1.115075825
26/06/2015,1.113833816
25/06/2015,1.11919418
24/06/2015,1.11831805
23/06/2015,1.118443127
22/06/2015,1.139860937
19/06/2015,1.133016089
18/06/2015,1.140250855
17/06/2015,1.123343069
16/06/2015,1.123595506
15/06/2015,1.125239113
12/06/2015,1.126887537
11/06/2015,1.123343069
10/06/2015,1.130326664
09/06/2015,1.124353497
08/06/2015,1.120699316
05/06/2015,1.110740864
04/06/2015,1.128286133
03/06/2015,1.126506703
02/06/2015,1.112842199
01/06/2015,1.089680724
29/05/2015,1.096250822
28/05/2015,1.091822251
27/05/2015,1.08802089
26/05/2015,1.089799477
22/05/2015,1.102657404
21/05/2015,1.111975981
20/05/2015,1.110740864
19/05/2015,1.112842199
18/05/2015,1.136492783
15/05/2015,1.143772161
14/05/2015,1.138044839
13/05/2015,1.13507378
12/05/2015,1.124732876
11/05/2015,1.114827202
08/05/2015,1.122208506
07/05/2015,1.126126126
06/05/2015,1.135460429
05/05/2015,1.118693366
01/05/2015,1.121956692
30/04/2015,1.120071685
29/04/2015,1.115075825
28/04/2015,1.098177026
27/04/2015,1.088257699
24/04/2015,1.086366105
23/04/2015,1.0801469
22/04/2015,1.07227107
21/04/2015,1.074229241
20/04/2015,1.07538445
17/04/2015,1.077586207
16/04/2015,1.070090958
15/04/2015,1.060895396
14/04/2015,1.069404342
13/04/2015,1.057529611
10/04/2015,1.062247716
09/04/2015,1.067691651
08/04/2015,1.079097874
07/04/2015,1.08577633
02/04/2015,1.087902524
01/04/2015,1.075731497
31/03/2015,1.074229241
30/03/2015,1.083071591
27/03/2015,1.089087345
26/03/2015,1.091941472
25/03/2015,1.098659635
24/03/2015,1.090631476
23/03/2015,1.092776746
20/03/2015,1.079097874
19/03/2015,1.062134891
18/03/2015,1.064282673
17/03/2015,1.060445387
16/03/2015,1.057529611
13/03/2015,1.052299274
12/03/2015,1.061345786
11/03/2015,1.057417786
10/03/2015,1.070663812
09/03/2015,1.084598698
06/03/2015,1.086012163
05/03/2015,1.10314396
04/03/2015,1.106929378
03/03/2015,1.118443127
02/03/2015,1.119444755
27/02/2015,1.121704992
26/02/2015,1.121453404
25/02/2015,1.135718342
24/02/2015,1.133658315
23/02/2015,1.135460429
20/02/2015,1.1368804
19/02/2015,1.138952164
18/02/2015,1.136105431
17/02/2015,1.140120853
16/02/2015,1.140380887
13/02/2015,1.140250855
12/02/2015,1.137138958
11/02/2015,1.130454443
10/02/2015,1.13237459
09/02/2015,1.133658315
06/02/2015,1.134429949
05/02/2015,1.142857143
04/02/2015,1.14246544
03/02/2015,1.144950767
02/02/2015,1.134172621
30/01/2015,1.128413451
29/01/2015,1.133658315
28/01/2015,1.134044001
27/01/2015,1.140250855
26/01/2015,1.12561909
23/01/2015,1.124732876
22/01/2015,1.141682841
21/01/2015,1.158748552
20/01/2015,1.157407407
19/01/2015,1.163196464
16/01/2015,1.149293185
15/01/2015,1.158748552
14/01/2015,1.178689298
13/01/2015,1.178133836
12/01/2015,1.181753723
09/01/2015,1.183291918
08/01/2015,1.179245283
07/01/2015,1.180358829
06/01/2015,1.192037192
05/01/2015,1.193744777
02/01/2015,1.203079885
31/12/2014,1.215509906
30/12/2014,1.216545012
29/12/2014,1.218026797
24/12/2014,1.219958521
23/12/2014,1.217581882
22/12/2014,1.225640397
19/12/2014,1.22624157
18/12/2014,1.227897839
17/12/2014,1.239464551
16/12/2014,1.250938204
15/12/2014,1.242081729
12/12/2014,1.246261216
11/12/2014,1.238236751
10/12/2014,1.241773252
09/12/2014,1.242390359
08/12/2014,1.22895416
05/12/2014,1.229558588
04/12/2014,1.243626415
03/12/2014,1.232134056
02/12/2014,1.240233164
01/12/2014,1.247660636
28/11/2014,1.246571927
27/11/2014,1.248127808
26/11/2014,1.252818842
25/11/2014,1.24859533
24/11/2014,1.243626415
21/11/2014,1.241156758
20/11/2014,1.254075746
19/11/2014,1.254075746
18/11/2014,1.253132832
17/11/2014,1.245640259
14/11/2014,1.247972045
13/11/2014,1.24750499
12/11/2014,1.247660636
11/11/2014,1.242699143
10/11/2014,1.244400199
07/11/2014,1.241464929
06/11/2014,1.243626415
05/11/2014,1.248907206
04/11/2014,1.257071025
03/11/2014,1.248439451
31/10/2014,1.252975818
30/10/2014,1.262148176
29/10/2014,1.276161307
28/10/2014,1.274697259
27/10/2014,1.271132579
24/10/2014,1.266945395
23/10/2014,1.26486213
22/10/2014,1.266624446
21/10/2014,1.272912424
20/10/2014,1.278118609
17/10/2014,1.27665007
16/10/2014,1.278118609
15/10/2014,1.275835672
14/10/2014,1.266624446
13/10/2014,1.268069997
10/10/2014,1.262626263
09/10/2014,1.271294177
08/10/2014,1.268713524
07/10/2014,1.262945188
06/10/2014,1.256913022
03/10/2014,1.251094708
02/10/2014,1.265342275
01/10/2014,1.259445844
30/09/2014,1.263264275
29/09/2014,1.268552582
26/09/2014,1.269680041
25/09/2014,1.274697259
24/09/2014,1.279754287
23/09/2014,1.286339079
22/09/2014,1.282215669
19/09/2014,1.284026708
18/09/2014,1.292156609
17/09/2014,1.296008294
16/09/2014,1.294163323
15/09/2014,1.293828438
12/09/2014,1.293661061
11/09/2014,1.294163323
10/09/2014,1.291489087
09/09/2014,1.291322314
08/09/2014,1.294833614
05/09/2014,1.295840352
04/09/2014,1.296680498
03/09/2014,1.313715187
02/09/2014,1.312163758
01/09/2014,1.313715187
29/08/2014,1.317175975
28/08/2014,1.317523057
27/08/2014,1.320306311
26/08/2014,1.320480655
22/08/2014,1.32310135
21/08/2014,1.32837407
20/08/2014,1.328727079
19/08/2014,1.331912627
18/08/2014,1.336362421
15/08/2014,1.338329764
14/08/2014,1.337971635
13/08/2014,1.337971635
12/08/2014,1.335826877
11/08/2014,1.338867318
08/08/2014,1.341381623
07/08/2014,1.335113485
06/08/2014,1.335648457
05/08/2014,1.336898396
04/08/2014,1.341921632
01/08/2014,1.343002955
31/07/2014,1.337971635
30/07/2014,1.337792642
29/07/2014,1.341021859
28/07/2014,1.344086022
25/07/2014,1.343183345
24/07/2014,1.346982759
23/07/2014,1.34643867
22/07/2014,1.346801347
21/07/2014,1.352082207
18/07/2014,1.35098622
17/07/2014,1.35171668
16/07/2014,1.353546291
15/07/2014,1.356852103
14/07/2014,1.362769147
11/07/2014,1.35998912
10/07/2014,1.360174102
09/07/2014,1.364070386
08/07/2014,1.361470388
07/07/2014,1.359619307
04/07/2014,1.358880283
03/07/2014,1.360914535
02/07/2014,1.365374113
01/07/2014,1.367989056
30/06/2014,1.369112815
27/06/2014,1.364070386
26/06/2014,1.358880283
25/06/2014,1.363326517
24/06/2014,1.359619307
23/06/2014,1.359249694
20/06/2014,1.357588922
19/06/2014,1.363140676
18/06/2014,1.357220413
17/06/2014,1.354462955
16/06/2014,1.357220413
13/06/2014,1.352813853
12/06/2014,1.35501355
11/06/2014,1.353363107
10/06/2014,1.354462955
09/06/2014,1.359249694
06/06/2014,1.364070386
05/06/2014,1.361470388
04/06/2014,1.362212233
03/06/2014,1.362026696
02/06/2014,1.360544218
30/05/2014,1.364628821
29/05/2014,1.361470388
28/05/2014,1.359434475
27/05/2014,1.361470388
23/05/2014,1.363140676
22/05/2014,1.365560563
21/05/2014,1.366306873
20/05/2014,1.369675387
19/05/2014,1.371742112
16/05/2014,1.370426203
15/05/2014,1.371553971
14/05/2014,1.370989855
13/05/2014,1.370614035
12/05/2014,1.375515818
09/05/2014,1.375515818
08/05/2014,1.386385692
07/05/2014,1.392369813
06/05/2014,1.393339836
02/05/2014,1.386385692
01/05/2014,1.386577926
30/04/2014,1.386385692
29/04/2014,1.381788034
28/04/2014,1.384466288
25/04/2014,1.383700014
24/04/2014,1.381978994
23/04/2014,1.382743363
22/04/2014,1.379690949
17/04/2014,1.383508578
16/04/2014,1.38064338
15/04/2014,1.382361073
14/04/2014,1.381597126
11/04/2014,1.388696014
10/04/2014,1.388117712
09/04/2014,1.382361073
08/04/2014,1.379310345
07/04/2014,1.374192662
04/04/2014,1.369487812
03/04/2014,1.371553971
